Review Text,Date,Star Rating,Total Films Reviewed,Reviews This Year,Following,Followers
barbie(2023) but for mentally ill people,01 Sep 2023,9,1585,39,155,1585
"Bella, where the hell have you been, loca?",15 Oct 2023,9,4512,41,370,4512
they hate to see a bitch with childlike wonder,11 Dec 2023,9,1278,27,220,1278
"absolutely movie of the year for me. unbelievably funny and thoughtful and gorgeous, i wanted to pause on every frame! every character is rendered with such care and depth and without a hint of morality placed on their actions for the audience. would make an incredible double bill withThe Lobsterobviously, but alsoTitane.obvious why everyone’s discussing this from a feminist lens but as someone 2 years out of an autism diagnosis i saw a lot of that…",14 Dec 2023,0,1844,22,157,1844
mark ruffalo: stop giving me your toughest battlesgod: you are my horniest soldier,15 Oct 2023,9,1353,21,139,1353
The people who don’t like sex in movies are gonna have an aneurysm when they see this,28 Nov 2023,8,1470,33,104,1470
this should be the first moviebarbiewatches in the real world,11 Dec 2023,0,2685,7,29722,2685
tag yourself i’m the socialist lesbian whore,02 Sep 2023,9,683,7,190,8280
when nicole kidman said “we come to this place for magic” this is what she meant,08 Nov 2023,0,4812,21,512,4812
watched this with my mom :(,24 Dec 2023,6,293,12,42,11850
"I hatedPoor Thingsand reviewed it for Vulture. That people are speaking of this as a rousing, weird, feminist treatise is insane. How are y’all so easily fooled by such glaring misogyny???? Except below.Read my review here at Vulture.“there’s a corroded spirit to the story, like it’s intermittently possessed by an edgelord who’s unaware most women menstruate, and an early-wave white feminist who believes having sex is the most empowering thing a woman can do. (For all the…",15 Dec 2023,2,665,50,121,11286
"I saw someone refer to this as a ""female version of Frankenstein"" which is funny because Frankenstein was written by a (brilliant) women and this was quite obviously written by a man.",17 Dec 2023,4,1061,5,121,1061
Barbie for people who listen to Björk,18 Dec 2023,9,760,14,1722,1722
Mark Ruffalo looks way too much like Lalo Salamanca in this,26 Dec 2023,9,992,31,27,102053
"objecting to a movie essentially everyone adores is a very lonely feeling. and i don’t think i’ve ever been so outnumbered. this movie was not made for me, yes, but that inevitably becomes its very problem. how can a movie that marketed itself as an exploration of womanhood not be for me? maybe it’s because my feminism is not stuck in thoughtless 2010s 3rd wave influenced sexual liberation that deems fucking the most empowering thing a woman can do. maybe…",08 Dec 2023,1,529,49,33,0
Mark Ruffalo's Hugh Grant in Paddington 2.,02 Sep 2023,9,2871,30,32,2871
